osm_node_id,time_window,time_interval,travel_time_delta,capacity,v_over_c,cycle_no,cycle_length,green_time,red_time,stage_no,mvmt_text_id,start_green_time,end_green_time,geometry,
1,000156_000000,None,None,751.3,0.29,0,90,17,73,1,EBL,000156,000000,0,
1,00029_000052.4,None,None,1587,1.05,0,90,35,55,1,EBT,00029,000052.4,0,
1,00029_000052.4,None,None,0,0,0,90,35,55,1,EBR,00029,000052.4,0,
1,000156_00029,None,None,475.9,0.04,0,90,10,80,1,WBL,000156,00029,0,
1,000000_000052.4,None,None,1177.5,1.38,0,90,28,62,1,WBT,000000,000052.4,0,
1,000000_000052.4,None,None,0,0,0,90,28,62,1,WBR,000000,000052.4,0,
1,000052.4_00017.2,None,None,621.5,0.07,0,90,10,80,2,NBL,000052.4,00017.2,0,
1,00018.40000000000001_000156,None,None,1116.8,0.23,0,90,35,55,2,NBT,00018.40000000000001,000156,0,
1,00018.40000000000001_000156,None,None,500,0.066,0,90,35,55,2,NBR,00018.40000000000001,000156,0,
1,000052.4_00018.40000000000001,None,None,621.5,0.16,0,90,10,80,2,SBL,000052.4,00018.40000000000001,0,
1,00017.2_000156,None,None,1116.8,0.12,0,90,35,55,2,SBT,00017.2,000156,0,
1,00017.2_000156,None,None,500,0.076,0,90,35,55,2,SBR,00017.2,000156,0,
7,000043.8_000110,None,None,710,0.26,0,90,14,76,1,EBL,000043.8,000110,0,
7,000057.2_00020.200000000000003,None,None,1631.2,1.15,0,90,36,54,1,EBT,000057.2,00020.200000000000003,0,
7,000057.2_00020.200000000000003,None,None,0,0,0,90,36,54,1,EBR,000057.2,00020.200000000000003,0,
7,000043.8_000057.2,None,None,509.4,0.08,0,90,9,81,1,WBL,000043.8,000057.2,0,
7,000110_00020.200000000000003,None,None,1341.1,0.99,0,90,31,59,1,WBT,000110,00020.200000000000003,0,
7,000110_00020.200000000000003,None,None,0,0,0,90,31,59,1,WBR,000110,00020.200000000000003,0,
7,00020.200000000000003_000218.4,None,None,733.6,0.08,0,90,17,73,2,NBL,00020.200000000000003,000218.4,0,
7,000215.2_000043.8,None,None,1101,0.15,0,90,35,55,2,NBT,000215.2,000043.8,0,
7,000215.2_000043.8,None,None,492,0.042682927,0,90,35,55,2,NBR,000215.2,000043.8,0,
7,00020.200000000000003_000215.2,None,None,466.1,0.12,0,90,10,80,2,SBL,00020.200000000000003,000215.2,0,
7,000218.4_000043.8,None,None,783.5,0.26,0,90,28,62,2,SBT,000218.4,000043.8,0,
7,000218.4_000043.8,None,None,0,0,0,90,28,62,2,SBR,000218.4,000043.8,0,
9,000053.8_000115,None,None,560.5,0.22,0,90,14,76,1,EBL,000053.8,000115,0,
9,00016.8_000210.6,None,None,1195.4,1.53,0,90,28,62,1,EBT,00016.8,000210.6,0,
9,00016.8_000210.6,None,None,0,0,0,90,28,62,1,EBR,00016.8,000210.6,0,
9,000053.8_00016.8,None,None,430.7,0.05,0,90,10,80,1,WBL,000053.8,00016.8,0,
9,000115_000210.6,None,None,1032.1,1.43,0,90,25,65,1,WBT,000115,000210.6,0,
9,000115_000210.6,None,None,0,0,0,90,25,65,1,WBR,000115,000210.6,0,
9,000210.6_000003.8,None,None,592,0.06,0,90,11,79,2,NBL,000210.6,000003.8,0,
9,000009.6_000053.8,None,None,538.2,0.2,0,90,33,57,2,NBT,000009.6,000053.8,0,
9,000009.6_000053.8,None,None,457,0.028446389,0,90,33,57,2,NBR,000009.6,000053.8,0,
9,000210.6_000009.6,None,None,890.9,0.08,0,90,19,71,2,SBL,000210.6,000009.6,0,
9,000003.8_000053.8,None,None,687.2,0.12,0,90,40,50,2,SBT,000003.8,000053.8,0,
9,000003.8_000053.8,None,None,584,0.049657534,0,90,40,50,2,SBR,000003.8,000053.8,0,
11,00025.09999999999999_000012,None,None,536.9,0.32,0,90,14,76,1,EBL,00025.09999999999999,000012,0,
11,000009.4_00016.40000000000001,None,None,1102,1.84,0,90,26,64,1,EBT,000009.4,00016.40000000000001,0,
11,000009.4_00016.40000000000001,None,None,0,0,0,90,26,64,1,EBR,000009.4,00016.40000000000001,0,
11,00025.09999999999999_000009.4,None,None,733.6,0.07,0,90,19,71,1,WBL,00025.09999999999999,000009.4,0,
11,000012_00016.40000000000001,None,None,1388.5,0.94,0,90,31,59,1,WBT,000012,00016.40000000000001,0,
11,000012_00016.40000000000001,None,None,0,0,0,90,31,59,1,WBR,000012,00016.40000000000001,0,
11,00016.40000000000001_000131,None,None,881.1,0.14,0,90,22,68,2,NBL,00016.40000000000001,000131,0,
11,000118.4_00025.09999999999999,None,None,1069.1,0.2,0,90,36,54,2,NBT,000118.4,00025.09999999999999,0,
11,000118.4_00025.09999999999999,None,None,0,0,0,90,36,54,2,NBR,000118.4,00025.09999999999999,0,
11,00016.40000000000001_000118.4,None,None,0,0,0,90,9,81,2,SBL,00016.40000000000001,000118.4,0,
11,000131_00025.09999999999999,None,None,592,0.28,0,90,23,67,2,SBT,000131,00025.09999999999999,0,
11,000131_00025.09999999999999,None,None,0,0,0,90,23,67,2,SBR,000131,00025.09999999999999,0,
13,000111_000124,None,None,283.2,0.04,0,90,11,79,1,EBL,000111,000124,0,
13,000136_00025.40000000000001,None,None,587.6,2.09,0,90,17,73,1,EBT,000136,00025.40000000000001,0,
13,000136_00025.40000000000001,None,None,183,0.071038251,0,90,17,73,1,EBR,000136,00025.40000000000001,0,
13,000111_000136,None,None,919.3,0.37,0,90,16,74,1,WBL,000111,000136,0,
13,000124_00025.40000000000001,None,None,904,1.09,0,90,23,67,1,WBT,000124,00025.40000000000001,0,
13,000124_00025.40000000000001,None,None,281,0.316725979,0,90,23,67,1,WBR,000124,00025.40000000000001,0,
13,00025.40000000000001_000218.8,None,None,1895.8,0.03,0,90,19,71,2,NBL,00025.40000000000001,000218.8,0,
13,000000.4_000111,None,None,1498.2,0.09,0,90,47,43,2,NBT,000000.4,000111,0,
13,000000.4_000111,None,None,2360,0.191525424,0,90,47,43,2,NBR,000000.4,000111,0,
13,00025.40000000000001_000000.4,None,None,1148.1,0.2,0,90,10,80,2,SBL,00025.40000000000001,000000.4,0,
13,000218.8_000111,None,None,1080.2,0.09,0,90,37,53,2,SBT,000218.8,000111,0,
13,000218.8_000111,None,None,0,0,0,90,37,53,2,SBR,000218.8,000111,0,
17,000000_000000,None,None,0,0,0,90,#N/A,#N/A,2,EBL,000000,000000,0,
17,000014_000058.7,None,None,1549.2,0.43,0,90,34,56,1,EBT,000014,000058.7,0,
17,000014_000058.7,None,None,399,0.253132832,0,90,34,56,1,EBR,000014,000058.7,0,
17,000000_000014,None,None,904,0.18,0,90,12,78,1,WBL,000000,000014,0,
17,000024.8_000058.7,None,None,1096.1,0.73,0,90,26,64,1,WBT,000024.8,000058.7,0,
17,000024.8_000058.7,None,None,341,0.093841642,0,90,26,64,1,WBR,000024.8,000058.7,0,
17,000058.7_000151.7,None,None,-157.3,-0.39,0,90,0,90,2,SBL,000058.7,000151.7,0,
21,000051.3_00017,None,None,831.5,0.03,0,90,10,80,2,EBL,000051.3,00017,0,
21,00017_000152.1,None,None,1175.2,0.51,0,90,28,62,2,EBT,00017,000152.1,0,
21,00017_000152.1,None,None,366,0.117486339,0,90,28,62,2,EBR,00017,000152.1,0,
21,000051.3_00017,None,None,911.7,0.01,0,90,11,79,2,WBL,000051.3,00017,0,
21,00017_000152.1,None,None,1237.4,0.55,0,90,29,61,2,WBT,00017,000152.1,0,
21,00017_000152.1,None,None,385,0.161038961,0,90,29,61,2,WBR,00017,000152.1,0,
21,000152.1_00029.90000000000001,None,None,1342.7,0.12,0,90,10,80,1,NBL,000152.1,00029.90000000000001,0,
21,00027.09999999999999_000051.3,None,None,1329.1,0.31,0,90,42,48,1,NBT,00027.09999999999999,000051.3,0,
21,00027.09999999999999_000051.3,None,None,595,0.031932773,0,90,42,48,1,NBR,00027.09999999999999,000051.3,0,
21,000152.1_00027.09999999999999,None,None,672.6,0.08,0,90,9,81,1,SBL,000152.1,00027.09999999999999,0,
21,00029.90000000000001_000051.3,None,None,1293.7,0.13,0,90,41,49,1,SBT,00029.90000000000001,000051.3,0,
21,00029.90000000000001_000051.3,None,None,579,0.020725389,0,90,41,49,1,SBR,00029.90000000000001,000051.3,0,
25,000154_00015,None,None,0,0,0,90,56.5,33.5,1,EBL,000154,00015,0,
25,000154_00015,None,None,2816.8,0.8,0,90,56.5,33.5,1,EBT,000154,00015,0,
25,000154_00015,None,None,0,0,0,90,56.5,33.5,1,EBR,000154,00015,0,
25,000138_000154,None,None,1301.9,0.04,0,90,11,79,1,WBL,000138,000154,0,
25,000138_00015,None,None,3457.8,0.41,0,90,67.5,22.5,1,WBT,000138,00015,0,
25,000138_00015,None,None,0,0,0,90,67.5,22.5,1,WBR,000138,00015,0,
25,00015_000138,None,None,306.7,0.33,0,90,22.5,67.5,2,NBL,00015,000138,0,
26,000025_000130,None,None,0,0,0,90,43.9,46.1,1,EBL,000025,000130,0,
26,000025_000130,None,None,2113.1,0.35,0,90,43.9,46.1,1,EBT,000025,000130,0,
26,000025_000130,None,None,658,0.053191489,0,90,43.9,46.1,1,EBR,000025,000130,0,
26,000216_000025,None,None,2670.1,0.03,0,90,19.5,70.5,1,WBL,000216,000025,0,
26,000216_000130,None,None,3214.9,0.27,0,90,63.4,26.6,1,WBT,000216,000130,0,
26,000216_000130,None,None,0,0,0,90,63.4,26.6,1,WBR,000216,000130,0,
26,000130_000216,None,None,379.6,0.29,0,90,26.6,63.4,2,NBL,000130,000216,0,
27,000214_000115,None,None,0,0,0,90,54,36,1,EBL,000214,000115,0,
27,000214_000115,None,None,2695.1,0.33,0,90,54,36,1,EBT,000214,000115,0,
27,000214_000115,None,None,839,0.058402861,0,90,54,36,1,EBR,000214,000115,0,
27,000153_000214,None,None,2563.3,0.01,0,90,13,77,1,WBL,000153,000214,0,
27,000153_000115,None,None,3457.8,0.28,0,90,67,23,1,WBT,000153,000115,0,
27,000153_000115,None,None,0,0,0,90,67,23,1,WBR,000153,000115,0,
27,000115_000153,None,None,598.9,0.23,0,90,23,67,2,NBL,000115,000153,0,
28,000059_00029,None,None,0,0,0,90,57.1,32.9,1,EBL,000059,00029,0,
28,000059_00029,None,None,2887.2,0.22,0,90,57.1,32.9,1,EBT,000059,00029,0,
28,000059_00029,None,None,899,0.007786429,0,90,57.1,32.9,1,EBR,000059,00029,0,
28,000023_000059,None,None,1532,0.03,0,90,16.9,73.1,1,WBL,000023,000059,0,
28,000023_00029,None,None,3836.4,0.21,0,90,74,16,1,WBT,000023,00029,0,
28,000023_00029,None,None,0,0,0,90,74,16,1,WBR,000023,00029,0,
28,00029_000023,None,None,151.4,0.18,0,90,16,74,2,NBL,00029,000023,0,
31,000152_000047,None,None,0,0,0,90,51,39,1,EBL,000152,000047,0,
31,000152_000047,None,None,2525.6,0.36,0,90,51,39,1,EBT,000152,000047,0,
31,000152_000047,None,None,786,0.019083969,0,90,51,39,1,EBR,000152,000047,0,
31,000123_000152,None,None,2532.8,0.05,0,90,14,76,1,WBL,000123,000152,0,
31,000123_000047,None,None,3339.2,0.29,0,90,65,25,1,WBT,000123,000047,0,
31,000123_000047,None,None,0,0,0,90,65,25,1,WBR,000123,000047,0,
31,000047_000123,None,None,686.6,0.09,0,90,25,65,2,NBL,000047,000123,0,
33,000100_000213,None,None,0,0,0,90,55.2,34.8,1,EBL,000100,000213,0,
33,000100_000213,None,None,2774.2,0.32,0,90,55.2,34.8,1,EBT,000100,000213,0,
33,000100_000213,None,None,864,0.021990741,0,90,55.2,34.8,1,EBR,000100,000213,0,
33,000032_000100,None,None,479.7,0.19,0,90,11.8,78.2,1,WBL,000032,000100,0,
33,000032_000213,None,None,3463.5,0.28,0,90,67,23,1,WBT,000032,000213,0,
33,000032_000213,None,None,0,0,0,90,67,23,1,WBR,000032,000213,0,
33,000213_000032,None,None,314.7,0.19,0,90,23,67,2,NBL,000213,000032,0,
34,000025_000045,None,None,1064.2,0.19,0,90,10,80,1,EBL,000025,000045,0,
34,000043_000131.3,None,None,1446.4,0.46,0,90,32,58,1,EBT,000043,000131.3,0,
34,000043_000131.3,None,None,450,0.146666667,0,90,32,58,1,EBR,000043,000131.3,0,
34,000025_000043,None,None,1052.8,0.13,0,90,10,80,1,WBL,000025,000043,0,
34,000045_000131.3,None,None,1429.5,0.34,0,90,32,58,1,WBT,000045,000131.3,0,
34,000045_000131.3,None,None,445,0.435955056,0,90,32,58,1,WBR,000045,000131.3,0,
34,000131.3_000152.3,None,None,656.9,0.16,0,90,10,80,2,NBL,000131.3,000152.3,0,
34,000151.7_000025,None,None,1222.9,0.33,0,90,38,52,2,NBT,000151.7,000025,0,
34,000151.7_000025,None,None,547,0.096892139,0,90,38,52,2,NBR,000151.7,000025,0,
34,000131.3_000151.7,None,None,1281.7,0.14,0,90,10,80,2,SBL,000131.3,000151.7,0,
34,000152.3_000025,None,None,1191.5,0.24,0,90,38,52,2,SBT,000152.3,000025,0,
34,000152.3_000025,None,None,0,0,0,90,38,52,2,SBR,000152.3,000025,0,
36,000118_000148,None,None,1460.9,0.12,0,90,16.7,73.3,1,EBL,000118,000148,0,
36,000137_000022,None,None,1644.2,0.54,0,90,38.8,51.2,1,EBT,000137,000022,0,
36,000137_000022,None,None,512,0.046875,0,90,38.8,51.2,1,EBR,000137,000022,0,
36,000118_000137,None,None,1323.6,0.03,0,90,13.3,76.7,1,WBL,000118,000137,0,
36,000148_000022,None,None,1621.6,0.28,0,90,35.4,54.6,1,WBT,000148,000022,0,
36,000148_000022,None,None,505,0.069306931,0,90,35.4,54.6,1,WBR,000148,000022,0,
36,000022_000045,None,None,472,0.11,0,90,12.3,77.7,2,NBL,000022,000045,0,
36,000046_000118,None,None,707.8,0.14,0,90,25.2,64.8,2,NBT,000046,000118,0,
36,000046_000118,None,None,317,0.141955836,0,90,25.2,64.8,2,NBR,000046,000118,0,
36,000022_000046,None,None,477.9,0.11,0,90,12.7,77.3,2,SBL,000022,000046,0,
36,000045_000118,None,None,641.1,0.19,0,90,25.6,64.4,2,SBT,000045,000118,0,
36,000045_000118,None,None,0,0,0,90,25.6,64.4,2,SBR,000045,000118,0,
39,000030_000117,None,None,0,0,0,90,31.7,58.3,1,EBL,000030,000117,0,
39,000030_000117,None,None,1378.6,0.64,0,90,31.7,58.3,1,EBT,000030,000117,0,
39,000030_000117,None,None,429,0.27039627,0,90,31.7,58.3,1,EBR,000030,000117,0,
39,000001_000030,None,None,1300.7,0.06,0,90,19.3,70.7,1,WBL,000001,000030,0,
39,000030_000117,None,None,1378.6,0.39,0,90,31.7,58.3,1,WBT,000030,000117,0,
39,000030_000117,None,None,0,0,0,90,31.7,58.3,1,WBR,000030,000117,0,
39,000139_000001,None,None,503.5,1.05,0,90,23.1,66.9,2,NBL,000139,000001,0,
44,000000_000014.6,None,None,426.8,0.15,0,90,8,82,1,EBL,000000,000014.6,0,
44,000019.7_000111,None,None,841.5,1.07,0,90,29,61,1,EBT,000019.7,000111,0,
44,000019.7_000111,None,None,0,0,0,90,29,61,1,EBR,000019.7,000111,0,
44,000000_000019.7,None,None,599.8,0.01,0,90,13,77,1,WBL,000000,000019.7,0,
44,000014.6_000111,None,None,990.9,0.72,0,90,33,57,1,WBT,000014.6,000111,0,
44,000014.6_000111,None,None,443,0.39503386,0,90,33,57,1,WBR,000014.6,000111,0,
44,000111_000125.1,None,None,568.4,0,0,90,9,81,2,NBL,000111,000125.1,0,
44,000152_000000,None,None,507.1,0.06,0,90,36,54,2,NBT,000152,000000,0,
44,000152_000000,None,None,0,0,0,90,36,54,2,NBR,000152,000000,0,
44,000111_000152,None,None,1293.1,0.53,0,90,13,77,2,SBL,000111,000152,0,
44,000125.1_000000,None,None,618.9,0.01,0,90,39,51,2,SBT,000125.1,000000,0,
44,000125.1_000000,None,None,526,0.047528517,0,90,39,51,2,SBR,000125.1,000000,0,
46,000044_00029,None,None,0,0,0,90,55.6,34.4,1,EBL,000044,00029,0,
46,000044_00029,None,None,2796.8,0.25,0,90,55.6,34.4,1,EBT,000044,00029,0,
46,000044_00029,None,None,871,0.001148106,0,90,55.6,34.4,1,EBR,000044,00029,0,
46,000019_000044,None,None,1305.9,0,0,90,11.9,78.1,1,WBL,000019,000044,0,
46,000019_00029,None,None,3469.1,0.25,0,90,67.5,22.5,1,WBT,000019,00029,0,
46,000019_00029,None,None,0,0,0,90,67.5,22.5,1,WBR,000019,00029,0,
46,00029_000019,None,None,568.4,0,0,90,22.5,67.5,2,NBL,00029,000019,0,
49,000052_00025,None,None,0,0,0,90,35.2,54.8,1,EBL,000052,00025,0,
49,000052_00025,None,None,1657.8,0.72,0,90,35.2,54.8,1,EBT,000052,00025,0,
49,000052_00025,None,None,0,0,0,90,35.2,54.8,1,EBR,000052,00025,0,
49,000019_000052,None,None,1561.5,0.03,0,90,28.2,61.8,1,WBL,000019,000052,0,
49,000019_00025,None,None,3243.1,0.32,0,90,63.4,26.6,1,WBT,000019,00025,0,
49,000019_00025,None,None,0,0,0,90,63.4,26.6,1,WBR,000019,00025,0,
49,00025_000019,None,None,391.4,0.07,0,90,26.6,63.4,2,NBL,00025,000019,0,
