RECORDNAME,INTID,DATA
Node 1,130,0
Control Type,131,3
Cycle Length,131,110
Lock Timings,131,0
Referenced To,131,3
Reference Phase,131,1
Offset,131,93
Master,131,0
Yield,131,0
Node 0,131,131
Node 1,131,0
Control Type,132,3
Cycle Length,132,110
Lock Timings,132,0
Referenced To,132,3
Reference Phase,132,1
Offset,132,45
Master,132,0
Yield,132,0
Node 0,132,132
Node 1,132,0
Control Type,135,3
Cycle Length,135,110
Lock Timings,135,0
Referenced To,135,3
Reference Phase,135,206
Offset,135,0
Master,135,0
Yield,135,0
Node 0,135,135
Node 1,135,335
Node 2,135,0
Control Type,138,3
Cycle Length,138,94
Lock Timings,138,0
Referenced To,138,3
Reference Phase,138,1
Offset,138,40
Master,138,0
Yield,138,0
Node 0,138,138
Node 1,138,0
Control Type,139,3
Cycle Length,139,110
Lock Timings,139,0
Referenced To,139,3
Reference Phase,139,408
Offset,139,70
Master,139,0
Yield,139,0
Node 0,139,139
Node 1,139,0
Control Type,140,3
Cycle Length,140,110
Lock Timings,140,0
Referenced To,140,3
Reference Phase,140,408
Offset,140,8
Master,140,0
Yield,140,0
Node 0,140,140
Node 1,140,340
Node 2,140,0
Control Type,141,3
Cycle Length,141,110
Lock Timings,141,0
Referenced To,141,3
Reference Phase,141,206
Offset,141,88
Master,141,0
Yield,141,0
Node 0,141,141
Node 1,141,341
Node 2,141,0
Control Type,142,3
Cycle Length,142,110
Lock Timings,142,0
Referenced To,142,3
Reference Phase,142,206
Offset,142,107
Master,142,0
Yield,142,0
Node 0,142,142
Node 1,142,342
Node 2,142,0
Control Type,144,3
Cycle Length,144,110
Lock Timings,144,0
Referenced To,144,3
Reference Phase,144,206
Offset,144,2
Master,144,0
Yield,144,0
Node 0,144,144
Node 1,144,344
Node 2,144,0
Control Type,147,3
Cycle Length,147,110
Lock Timings,147,0
Referenced To,147,3
Reference Phase,147,1
Offset,147,92
Master,147,0
Yield,147,0
Node 0,147,147
Node 1,147,0
Control Type,149,3
Cycle Length,149,110
Lock Timings,149,0
Referenced To,149,3
Reference Phase,149,1
Offset,149,75
Master,149,0
Yield,149,0
Node 0,149,149
Node 1,149,0
Control Type,150,3
Cycle Length,150,110
Lock Timings,150,0
Referenced To,150,3
Reference Phase,150,1
Offset,150,26
Master,150,0
Yield,150,0
Node 0,150,150
Node 1,150,0
Control Type,152,3
Cycle Length,152,120
Lock Timings,152,0
Referenced To,152,3
Reference Phase,152,1
Offset,152,106
Master,152,0
Yield,152,0
Node 0,152,152
Node 1,152,0
Control Type,153,3
Cycle Length,153,120
Lock Timings,153,0
Referenced To,153,3
Reference Phase,153,206
Offset,153,1
Master,153,0
Yield,153,0
Node 0,153,153
Node 1,153,0
Control Type,154,3
Cycle Length,154,120
Lock Timings,154,0
Referenced To,154,3
Reference Phase,154,206
Offset,154,113
Master,154,0
Yield,154,0
Node 0,154,154
Node 1,154,0
Control Type,155,3
Cycle Length,155,120
Lock Timings,155,0
Referenced To,155,3
Reference Phase,155,206
Offset,155,3
Master,155,0
Yield,155,0
Node 0,155,155
Node 1,155,355
Node 2,155,0
Control Type,156,3
Cycle Length,156,120
Lock Timings,156,0
Referenced To,156,3
Reference Phase,156,206
Offset,156,103
Master,156,0
Yield,156,0
Node 0,156,156
Node 1,156,0
Control Type,157,3
Cycle Length,157,120
Lock Timings,157,0
Referenced To,157,3
Reference Phase,157,2
Offset,157,103
Master,157,0
Yield,157,0
Node 0,157,157
Node 1,157,0
Control Type,159,3
Cycle Length,159,120
Lock Timings,159,0
Referenced To,159,3
Reference Phase,159,206
Offset,159,55
Master,159,0
Yield,159,0
Node 0,159,159
Node 1,159,0
Control Type,160,3
Cycle Length,160,120
Lock Timings,160,0
Referenced To,160,3
Reference Phase,160,206
Offset,160,40
Master,160,0
Yield,160,0
Node 0,160,160
Node 1,160,0
Control Type,162,3
Cycle Length,162,120
Lock Timings,162,0
Referenced To,162,3
Reference Phase,162,206
Offset,162,100
Master,162,0
Yield,162,0
Node 0,162,162
Node 1,162,0
Control Type,163,3
Cycle Length,163,110
Lock Timings,163,0
Referenced To,163,3
Reference Phase,163,1
Offset,163,35
Master,163,0
Yield,163,0
Node 0,163,163
Node 1,163,0
Control Type,165,3
Cycle Length,165,110
Lock Timings,165,0
Referenced To,165,3
Reference Phase,165,206
Offset,165,109
Master,165,0
Yield,165,0
Node 0,165,165
Node 1,165,0
Control Type,166,3
Cycle Length,166,110
Lock Timings,166,0
Referenced To,166,3
Reference Phase,166,1
Offset,166,27
Master,166,0
Yield,166,0
Node 0,166,166
Node 1,166,0
Control Type,168,3
Cycle Length,168,110
Lock Timings,168,0
Referenced To,168,3
Reference Phase,168,206
Offset,168,100
Master,168,0
Yield,168,0
Node 0,168,168
Node 1,168,0
Control Type,170,3
Cycle Length,170,110
Lock Timings,170,0
Referenced To,170,3
Reference Phase,170,1
Offset,170,45
Master,170,0
Yield,170,0
Node 0,170,170
Node 1,170,0
Control Type,172,3
Cycle Length,172,110
Lock Timings,172,0
Referenced To,172,3
Reference Phase,172,206
Offset,172,0
Master,172,0
Yield,172,0
Node 0,172,172
Node 1,172,372
Node 2,172,0
Control Type,174,3
Cycle Length,174,110
Lock Timings,174,0
Referenced To,174,3
Reference Phase,174,1
Offset,174,77
Master,174,0
Yield,174,0
Node 0,174,174
Node 1,174,0
Control Type,175,3
Cycle Length,175,110
Lock Timings,175,0
Referenced To,175,3
Reference Phase,175,1
Offset,175,81
Master,175,0
Yield,175,0
Node 0,175,175
Node 1,175,0
Control Type,177,3
Cycle Length,177,110
Lock Timings,177,0
Referenced To,177,3
Reference Phase,177,1
Offset,177,81
Master,177,0
Yield,177,0
Node 0,177,177
Node 1,177,0
Control Type,178,3
Cycle Length,178,55
Lock Timings,178,0
Referenced To,178,3
Reference Phase,178,1
Offset,178,35
Master,178,0
Yield,178,0
Node 0,178,178
Node 1,178,0
Control Type,180,3
Cycle Length,180,110
Lock Timings,180,0
Referenced To,180,3
Reference Phase,180,206
Offset,180,0
Master,180,0
Yield,180,0
Node 0,180,180
Node 1,180,0
Control Type,181,3
Cycle Length,181,110
Lock Timings,181,0
Referenced To,181,3
Reference Phase,181,1
Offset,181,25
Master,181,0
Yield,181,0
Node 0,181,181
Node 1,181,0
Control Type,183,3
Cycle Length,183,110
Lock Timings,183,0
Referenced To,183,3
Reference Phase,183,206
Offset,183,95
Master,183,0
Yield,183,0
Node 0,183,183
Node 1,183,0
Control Type,184,3
Cycle Length,184,110
Lock Timings,184,0
Referenced To,184,3
Reference Phase,184,1
Offset,184,25
Master,184,0
Yield,184,0
Node 0,184,184
Node 1,184,0
Control Type,186,3
Cycle Length,186,110
Lock Timings,186,0
Referenced To,186,3
Reference Phase,186,206
Offset,186,0
Master,186,0
Yield,186,0
Node 0,186,186
Node 1,186,0
Control Type,188,3
Cycle Length,188,110
Lock Timings,188,0
Referenced To,188,3
Reference Phase,188,1
Offset,188,45
Master,188,0
Yield,188,0
Node 0,188,188
Node 1,188,0
Control Type,191,3
Cycle Length,191,120
Lock Timings,191,0
Referenced To,191,3
Reference Phase,191,206
Offset,191,70
Master,191,0
Yield,191,0
Node 0,191,191
Node 1,191,0
Control Type,193,3
Cycle Length,193,110
Lock Timings,193,0
Referenced To,193,3
Reference Phase,193,1
Offset,193,85
Master,193,0
Yield,193,0
Node 0,193,193
Node 1,193,0
Control Type,195,3
Cycle Length,195,110
Lock Timings,195,0
Referenced To,195,3
Reference Phase,195,1
Offset,195,105
Master,195,0
Yield,195,0
Node 0,195,195
Node 1,195,0
Control Type,196,3
Cycle Length,196,110
Lock Timings,196,0
Referenced To,196,3
Reference Phase,196,1
Offset,196,60
Master,196,0
Yield,196,0
Node 0,196,196
Node 1,196,0
Control Type,197,3
Cycle Length,197,47
Lock Timings,197,0
Referenced To,197,0
Reference Phase,197,1
Offset,197,0
Master,197,0
Yield,197,0
Node 0,197,197
Node 1,197,0
Control Type,198,3
Cycle Length,198,47
Lock Timings,198,0
Referenced To,198,0
Reference Phase,198,1
Offset,198,0
Master,198,0
Yield,198,0
Node 0,198,198
Node 1,198,0
Control Type,202,3
Cycle Length,202,110
Lock Timings,202,0
Referenced To,202,3
Reference Phase,202,206
Offset,202,36
Master,202,0
Yield,202,0
Node 0,202,202
Node 1,202,402
Node 2,202,0
Control Type,203,3
Cycle Length,203,110
Lock Timings,203,0
Referenced To,203,3
Reference Phase,203,206
Offset,203,4
Master,203,0
Yield,203,0
Node 0,203,203
Node 1,203,0
Control Type,204,3
Cycle Length,204,110
Lock Timings,204,0
Referenced To,204,3
Reference Phase,204,206
Offset,204,0
Master,204,0
Yield,204,0
Node 0,204,204
Node 1,204,0
Control Type,205,3
Cycle Length,205,110
Lock Timings,205,0
Referenced To,205,3
Reference Phase,205,206
Offset,205,49
Master,205,0
Yield,205,0
Node 0,205,205
Node 1,205,0
Control Type,206,3
Cycle Length,206,110
Lock Timings,206,0
Referenced To,206,3
Reference Phase,206,206
Offset,206,50
Master,206,0
Yield,206,0
Node 0,206,206
Node 1,206,0
Control Type,208,3
Cycle Length,208,110
Lock Timings,208,0
Referenced To,208,3
Reference Phase,208,206
Offset,208,0
Master,208,0
Yield,208,0
Node 0,208,208
Node 1,208,0
Control Type,209,1
Cycle Length,209,50
Lock Timings,209,0
Referenced To,209,0
Reference Phase,209,1
Offset,209,0
Master,209,0
Yield,209,0
Node 0,209,209
Node 1,209,0
Control Type,210,3
Cycle Length,210,110
Lock Timings,210,0
Referenced To,210,3
Reference Phase,210,206
Offset,210,109
Master,210,0
Yield,210,0
Node 0,210,210
Node 1,210,0
Control Type,213,3
Cycle Length,213,110
Lock Timings,213,0
Referenced To,213,3
Reference Phase,213,1
Offset,213,55
Master,213,0
Yield,213,0
Node 0,213,213
Node 1,213,0
Control Type,215,3
Cycle Length,215,110
Lock Timings,215,0
Referenced To,215,3
Reference Phase,215,206
Offset,215,0
Master,215,0
Yield,215,0
Node 0,215,215
Node 1,215,0
Control Type,216,3
Cycle Length,216,110
Lock Timings,216,0
Referenced To,216,3
Reference Phase,216,1
Offset,216,35
Master,216,0
Yield,216,0
Node 0,216,216
Node 1,216,0
Control Type,219,3
Cycle Length,219,110
Lock Timings,219,0
Referenced To,219,3
Reference Phase,219,1
Offset,219,34
Master,219,0
Yield,219,0
Node 0,219,219
Node 1,219,0
Control Type,220,3
Cycle Length,220,110
Lock Timings,220,0
Referenced To,220,3
Reference Phase,220,206
Offset,220,104
Master,220,0
Yield,220,0
Node 0,220,220
Node 1,220,420
Node 2,220,0
Control Type,221,3
Cycle Length,221,110
Lock Timings,221,0
Referenced To,221,3
Reference Phase,221,408
Offset,221,95
Master,221,0
Yield,221,0
Node 0,221,221
Node 1,221,0
Control Type,222,3
Cycle Length,222,110
Lock Timings,222,0
Referenced To,222,3
Reference Phase,222,408
Offset,222,90
Master,222,0
Yield,222,0
Node 0,222,222
Node 1,222,0
Control Type,224,3
Cycle Length,224,110
Lock Timings,224,0
Referenced To,224,3
Reference Phase,224,408
Offset,224,23
Master,224,0
Yield,224,0
Node 0,224,224
Node 1,224,0
Control Type,225,3
Cycle Length,225,110
Lock Timings,225,0
Referenced To,225,3
Reference Phase,225,1
Offset,225,67
Master,225,0
Yield,225,0
Node 0,225,225
Node 1,225,0
Control Type,226,3
Cycle Length,226,110
Lock Timings,226,0
Referenced To,226,3
Reference Phase,226,1
Offset,226,95
Master,226,0
Yield,226,0
Node 0,226,226
Node 1,226,0
Control Type,228,3
Cycle Length,228,110
Lock Timings,228,0
Referenced To,228,3
Reference Phase,228,206
Offset,228,5
Master,228,0
Yield,228,0
Node 0,228,228
Node 1,228,0
Control Type,229,3
Cycle Length,229,110
Lock Timings,229,0
Referenced To,229,3
Reference Phase,229,206
Offset,229,106
Master,229,0
Yield,229,0
Node 0,229,229
Node 1,229,0
Control Type,231,3
Cycle Length,231,110
Lock Timings,231,0
Referenced To,231,3
Reference Phase,231,206
Offset,231,55
Master,231,0
Yield,231,0
Node 0,231,231
Node 1,231,0
Control Type,232,3
Cycle Length,232,110
Lock Timings,232,0
Referenced To,232,3
Reference Phase,232,206
Offset,232,0
Master,232,0
Yield,232,0
Node 0,232,232
Node 1,232,0
Control Type,236,3
Cycle Length,236,110
Lock Timings,236,0
Referenced To,236,3
Reference Phase,236,206
Offset,236,0
Master,236,0
Yield,236,0
Node 0,236,236
Node 1,236,0
Control Type,240,3
Cycle Length,240,110
Lock Timings,240,0
Referenced To,240,3
Reference Phase,240,206
Offset,240,0
Master,240,0
Yield,240,0
Node 0,240,240
Node 1,240,0
Control Type,243,3
Cycle Length,243,110
Lock Timings,243,0
Referenced To,243,3
Reference Phase,243,1
Offset,243,98
Master,243,0
Yield,243,0
Node 0,243,243
Node 1,243,0
Control Type,244,3
Cycle Length,244,110
Lock Timings,244,0
Referenced To,244,3
Reference Phase,244,206
Offset,244,30
Master,244,0
Yield,244,0
Node 0,244,244
Node 1,244,0
Control Type,245,3
Cycle Length,245,110
Lock Timings,245,0
Referenced To,245,3
Reference Phase,245,206
Offset,245,0
Master,245,0
Yield,245,0
Node 0,245,245
Node 1,245,445
Node 2,245,0
Control Type,246,2
Cycle Length,246,87
Lock Timings,246,0
Referenced To,246,0
Reference Phase,246,206
Offset,246,16
Master,246,0
Yield,246,0
Node 0,246,246
Node 1,246,0
Control Type,247,2
Cycle Length,247,77
Lock Timings,247,0
Referenced To,247,0
Reference Phase,247,1
Offset,247,0
Master,247,0
Yield,247,0
Node 0,247,247
Node 1,247,0
Control Type,248,3
Cycle Length,248,110
Lock Timings,248,0
Referenced To,248,3
Reference Phase,248,408
Offset,248,98
Master,248,0
Yield,248,0
Node 0,248,248
Node 1,248,0
Control Type,249,3
Cycle Length,249,110
Lock Timings,249,0
Referenced To,249,0
Reference Phase,249,206
Offset,249,0
Master,249,0
Yield,249,0
Node 0,249,249
Node 1,249,0
Control Type,250,3
Cycle Length,250,120
Lock Timings,250,0
Referenced To,250,3
Reference Phase,250,206
Offset,250,109
Master,250,0
Yield,250,0
Node 0,250,250
Node 1,250,0
Control Type,251,3
Cycle Length,251,110
Lock Timings,251,0
Referenced To,251,3
Reference Phase,251,1
Offset,251,90
Master,251,0
Yield,251,0
Node 0,251,251
Node 1,251,0
Control Type,252,3
Cycle Length,252,110
Lock Timings,252,0
Referenced To,252,3
Reference Phase,252,408
Offset,252,55
Master,252,0
Yield,252,0
Node 0,252,252
Node 1,252,0
Control Type,253,3
Cycle Length,253,110
Lock Timings,253,0
Referenced To,253,3
Reference Phase,253,1
Offset,253,103
Master,253,0
Yield,253,0
Node 0,253,253
Node 1,253,0
Control Type,500,3
Cycle Length,500,103
Lock Timings,500,0
Referenced To,500,2
Reference Phase,500,206
Offset,500,0
Master,500,0
Yield,500,0
Node 0,500,500
Node 1,500,0
Control Type,503,3
Cycle Length,503,110
Lock Timings,503,0
Referenced To,503,2
Reference Phase,503,206
Offset,503,78
Master,503,0
Yield,503,0
Node 0,503,503
Node 1,503,0
Control Type,504,3
Cycle Length,504,103
Lock Timings,504,0
Referenced To,504,2
Reference Phase,504,206
Offset,504,0
Master,504,0
Yield,504,0
Node 0,504,504
Node 1,504,0
Control Type,505,3
Cycle Length,505,103
Lock Timings,505,0
Referenced To,505,2
Reference Phase,505,206
Offset,505,0
Master,505,0
Yield,505,0
Node 0,505,505
Node 1,505,0
Control Type,506,3
Cycle Length,506,103
Lock Timings,506,0
Referenced To,506,2
Reference Phase,506,206
Offset,506,0
Master,506,0
Yield,506,0
Node 0,506,506
Node 1,506,0
Control Type,507,3
Cycle Length,507,100
Lock Timings,507,0
Referenced To,507,2
Reference Phase,507,206
Offset,507,0
Master,507,0
Yield,507,0
Node 0,507,507
Node 1,507,0
Control Type,509,2
Cycle Length,509,125
Lock Timings,509,0
Referenced To,509,0
Reference Phase,509,408
Offset,509,31
Master,509,0
Yield,509,0
Node 0,509,509
Node 1,509,0
Control Type,511,2
Cycle Length,511,134
Lock Timings,511,0
Referenced To,511,0
Reference Phase,511,408
Offset,511,30
Master,511,0
Yield,511,0
Node 0,511,511
Node 1,511,0
Control Type,512,2
Cycle Length,512,141
Lock Timings,512,0
Referenced To,512,0
Reference Phase,512,206
Offset,512,26
Master,512,0
Yield,512,0
Node 0,512,512
Node 1,512,0
Control Type,513,2
Cycle Length,513,114
Lock Timings,513,0
Referenced To,513,0
Reference Phase,513,206
Offset,513,0
Master,513,0
Yield,513,0
Node 0,513,513
Node 1,513,0
Control Type,514,2
Cycle Length,514,114
Lock Timings,514,0
Referenced To,514,0
Reference Phase,514,206
Offset,514,0
Master,514,0
Yield,514,0
Node 0,514,514
Node 1,514,0
Control Type,515,2
Cycle Length,515,139
Lock Timings,515,0
Referenced To,515,0
Reference Phase,515,206
Offset,515,26
Master,515,0
Yield,515,0
Node 0,515,515
Node 1,515,0
Control Type,516,3
Cycle Length,516,110
Lock Timings,516,0
Referenced To,516,2
Reference Phase,516,206
Offset,516,106
Master,516,0
Yield,516,0
Node 0,516,516
Node 1,516,0
Control Type,517,3
Cycle Length,517,110
Lock Timings,517,0
Referenced To,517,1
Reference Phase,517,408
Offset,517,22
Master,517,0
Yield,517,0
Node 0,517,517
Node 1,517,0
Control Type,519,2
Cycle Length,519,144
Lock Timings,519,0
Referenced To,519,0
Reference Phase,519,206
Offset,519,19
Master,519,0
Yield,519,0
Node 0,519,519
Node 1,519,0
Control Type,520,1
Cycle Length,520,57
Lock Timings,520,0
Referenced To,520,0
Reference Phase,520,408
Offset,520,29
Master,520,0
Yield,520,0
Node 0,520,520
Node 1,520,0
Control Type,521,3
Cycle Length,521,110
Lock Timings,521,0
Referenced To,521,2
Reference Phase,521,206
Offset,521,20
Master,521,0
Yield,521,0
Node 0,521,521
Node 1,521,0
Control Type,522,3
Cycle Length,522,110
Lock Timings,522,0
Referenced To,522,2
Reference Phase,522,206
Offset,522,97
Master,522,0
Yield,522,0
Node 0,522,522
Node 1,522,0
Control Type,523,1
Cycle Length,523,110
Lock Timings,523,0
Referenced To,523,0
Reference Phase,523,206
Offset,523,0
Master,523,0
Yield,523,0
Node 0,523,523
Node 1,523,0
Control Type,524,3
Cycle Length,524,110
Lock Timings,524,0
Referenced To,524,2
Reference Phase,524,206
Offset,524,0
Master,524,0
Yield,524,0
Node 0,524,524
Node 1,524,0
Control Type,525,3
Cycle Length,525,110
Lock Timings,525,0
Referenced To,525,2
Reference Phase,525,206
Offset,525,20
Master,525,0
Yield,525,0
Node 0,525,525
Node 1,525,0
Control Type,526,3
Cycle Length,526,110
Lock Timings,526,0
Referenced To,526,2
Reference Phase,526,206
Offset,526,18
Master,526,0
Yield,526,0
Node 0,526,526
Node 1,526,0
Control Type,527,3
Cycle Length,527,110
Lock Timings,527,0
Referenced To,527,2
Reference Phase,527,206
Offset,527,60
Master,527,0
Yield,527,0
Node 0,527,527
Node 1,527,0
Control Type,528,3
Cycle Length,528,110
Lock Timings,528,0
Referenced To,528,2
Reference Phase,528,206
Offset,528,60
Master,528,0
Yield,528,0
Node 0,528,528
Node 1,528,0
Control Type,530,3
Cycle Length,530,110
Lock Timings,530,0
Referenced To,530,2
Reference Phase,530,206
Offset,530,98
Master,530,0
Yield,530,0
Node 0,530,530
Node 1,530,0
Control Type,532,3
Cycle Length,532,110
Lock Timings,532,0
Referenced To,532,2
Reference Phase,532,206
Offset,532,17
Master,532,0
Yield,532,0
Node 0,532,532
Node 1,532,533
Node 2,532,0
Control Type,534,3
Cycle Length,534,110
Lock Timings,534,0
Referenced To,534,2
Reference Phase,534,206
Offset,534,92
Master,534,0
Yield,534,0
Node 0,534,534
Node 1,534,0
Control Type,536,3
Cycle Length,536,110
Lock Timings,536,0
Referenced To,536,2
Reference Phase,536,206
Offset,536,0
Master,536,0
Yield,536,0
Node 0,536,536
Node 1,536,0
Control Type,537,3
Cycle Length,537,110
Lock Timings,537,0
Referenced To,537,2
Reference Phase,537,206
Offset,537,0
Master,537,0
Yield,537,0
Node 0,537,537
Node 1,537,0
Control Type,744,3
Cycle Length,744,111
Lock Timings,744,0
Referenced To,744,0
Reference Phase,744,206
Offset,744,0
Master,744,0
Yield,744,0
Node 0,744,744
Node 1,744,0
Control Type,745,3
Cycle Length,745,126
Lock Timings,745,0
Referenced To,745,0
Reference Phase,745,206
Offset,745,0
Master,745,0
Yield,745,0
Node 0,745,745
Node 1,745,746
Node 2,745,0
Control Type,747,0
Cycle Length,747,110
Lock Timings,747,0
Referenced To,747,0
Reference Phase,747,206
Offset,747,0
Master,747,0
Yield,747,0
Node 0,747,747
Node 1,747,0
